순번,id,slug,first_episode,pattern_ko,english,examples
93,"838","jeo-dalayo","24","저는 좀 달라요","I'm a bit different.","[{""en"":""I'm a bit different — I love spicy food!"",""ko"":""저는 좀 달라요, 매운 거 좋아해요!""},{""en"":""I'm a bit different — I prefer bands."",""ko"":""저는 좀 달라요, 밴드가 더 좋아요.""},{""en"":""My taste is a bit different."",""ko"":""취향이 저는 좀 달라요.""}]"
94,"1321","neundago","24","-는다고","says that","[{""en"":""Jisu said she's coming tomorrow."",""ko"":""지수가 내일 온다고 했어요.""},{""en"":""I heard this place is good."",""ko"":""여기 맛있다고 들었어요.""},{""en"":""He said he's busy these days."",""ko"":""요즘 바쁘다고 했어요.""}]"
95,"839","ga-bwasseoyo","25","~에 가 봤어요?","Have you been to ~?","[{""en"":""Have you been to Jeju Island?"",""ko"":""제주도에 가 봤어요?""},{""en"":""Have you been to Gyeongbokgung?"",""ko"":""경복궁에 가 봤어요?""},{""en"":""Have you been to Busan?"",""ko"":""부산에 가 봤어요?""}]"
96,"840","kkok-ga-boseyo","25","꼭 가 보세요","You should definitely go.","[{""en"":""You should definitely visit the Han River!"",""ko"":""한강 꼭 가 보세요!""},{""en"":""You should definitely check out Gwangjang Market!"",""ko"":""광장시장 꼭 가 보세요!""},{""en"":""You should definitely go to Jeju Island!"",""ko"":""제주도 꼭 가 보세요!""}]"
97,"1340","eo-boda","25","-어 보다","try ~ing","[{""en"":""Try eating it."",""ko"":""한번 먹어 보세요.""},{""en"":""May I try it on?"",""ko"":""입어 봐도 돼요?""},{""en"":""I've been to Korea."",""ko"":""한국에 가 봤어요.""}]"
98,"1354","eun-hue","25","-은 후에","after","[{""en"":""Let's meet after class."",""ko"":""수업이 끝난 후에 만나요.""},{""en"":""I took a walk after eating."",""ko"":""밥을 먹은 후에 산책했어요.""},{""en"":""I'll tell you after I think about it."",""ko"":""생각해 본 후에 말씀드릴게요.""}]"
99,"842","yojeum-mwo-bwayo","26","요즘 뭐 봐요?","What are you watching these days?","[{""en"":""What are you watching lately?"",""ko"":""요즘 뭐 봐요?""},{""en"":""What dramas are you watching lately?"",""ko"":""요즘 드라마 뭐 봐요?""},{""en"":""What are you watching lately? Give me a recommendation!"",""ko"":""요즘 뭐 봐요? 추천해줘요!""}]"
100,"843","ppajyeodeureoyo","26","완전 빠져들었어요","I'm totally hooked.","[{""en"":""I'm totally hooked on this drama!"",""ko"":""이 드라마 완전 빠져들었어요!""},{""en"":""I'm totally hooked on K-pop!"",""ko"":""케이팝에 완전 빠져들었어요!""},{""en"":""I'm totally absorbed in studying Korean."",""ko"":""한국어 공부에 완전 빠져들었어요.""}]"
101,"844","gidae-dwaeyo","26","다음 화가 기대돼요","I can't wait for the next episode.","[{""en"":""I can't wait for the next episode!"",""ko"":""다음 화가 진짜 기대돼요!""},{""en"":""I can't wait for next week!"",""ko"":""다음 주가 진짜 기대돼요!""},{""en"":""I can't wait to see the ending!"",""ko"":""결말이 정말 기대돼요!""}]"
102,"1316","neun-daero","26","-는 대로","as soon as; just as","[{""en"":""I'll call as soon as I arrive."",""ko"":""도착하는 대로 연락할게요.""},{""en"":""I said it just as I heard it."",""ko"":""들은 대로 말했어요.""},{""en"":""I'll go as soon as it's over."",""ko"":""끝나는 대로 갈게요.""}]"
103,"845","norae-arayo","27","이 노래 알아요?","Do you know this song?","[{""en"":""Do you know this song?"",""ko"":""이 노래 알아요?""},{""en"":""Do you know this song? I love it so much!"",""ko"":""이 노래 알아요? 너무 좋아요!""},{""en"":""Do you know this singer's songs?"",""ko"":""이 가수 노래 알아요?""}]"
104,"846","gasa-tteut","27","가사가 무슨 뜻이에요?","What do the lyrics mean?","[{""en"":""What does this lyric mean?"",""ko"":""이 가사가 무슨 뜻이에요?""},{""en"":""What does '그리워' mean?"",""ko"":""'그리워'가 무슨 뜻이에요?""},{""en"":""What does this part of the lyrics mean?"",""ko"":""이 부분 가사가 무슨 뜻이에요?""}]"
105,"847","jungdokseong","27","중독성 있어요","It's addictive.","[{""en"":""This song is so catchy!"",""ko"":""이 노래 진짜 중독성 있어요!""},{""en"":""Tteokbokki is so addictive!"",""ko"":""떡볶이 중독성 있어요!""},{""en"":""This drama is totally addictive!"",""ko"":""이 드라마 완전 중독성 있어요!""}]"
106,"1376","ppun","27","~뿐","only; nothing but","[{""en"":""You're the only one I can trust."",""ko"":""믿을 사람은 너뿐이야.""},{""en"":""It's only once."",""ko"":""한 번뿐이에요.""},{""en"":""I just smiled, that's all."",""ko"":""그냥 웃을 뿐이었어요.""}]"
107,"848","gwanri-haeyo","28","~관리 어떻게 해요?","How do you take care of ~?","[{""en"":""How do you take care of your skin?"",""ko"":""피부 관리 어떻게 해요?""},{""en"":""How do you take care of your hair?"",""ko"":""머리 관리 어떻게 해요?""},{""en"":""How do you take care of your body?"",""ko"":""몸 관리 어떻게 해요?""}]"
108,"849","hyogwa-isseoyo","28","~효과 있어요?","Does ~ actually work?","[{""en"":""Is this serum effective?"",""ko"":""이 세럼 효과 있어요?""},{""en"":""Does this diet method work?"",""ko"":""이 다이어트 방법 효과 있어요?""},{""en"":""Does this medicine work?"",""ko"":""이 약 효과 있어요?""}]"
109,"850","hugi-joayo","28","후기가 좋아요","It has good reviews.","[{""en"":""The reviews for this cream are amazing!"",""ko"":""이 크림 후기가 진짜 좋아요!""},{""en"":""This restaurant has great reviews — let's go!"",""ko"":""이 식당 후기가 좋아요, 가봐요!""},{""en"":""I bought it because the reviews were good."",""ko"":""후기가 좋아서 사봤어요.""}]"
110,"1373","mankeum","28","~만큼","as much as","[{""en"":""It's not as hard as I thought."",""ko"":""생각만큼 어렵지 않아요.""},{""en"":""I improved as much as I worked at it."",""ko"":""노력한 만큼 늘었어요.""},{""en"":""You speak as well as a Korean."",""ko"":""한국 사람만큼 잘해요.""}]"
111,"851","eolmana-jaju","29","얼마나 자주 해요?","How often do you ~?","[{""en"":""How often do you exercise?"",""ko"":""얼마나 자주 운동해요?""},{""en"":""How often do you go to cafés?"",""ko"":""얼마나 자주 카페 가요?""},{""en"":""How often do you study Korean?"",""ko"":""얼마나 자주 한국어 공부해요?""}]"
112,"852","geongang-joayo","29","건강에 좋아요","It's good for your health.","[{""en"":""Walking is good for your health!"",""ko"":""걷기 건강에 좋아요!""},{""en"":""Kimchi is good for your health."",""ko"":""김치 건강에 좋아요.""},{""en"":""Sleeping well is good for your health."",""ko"":""잠 잘 자는 게 건강에 좋아요.""}]"
113,"853","kkujunhi","29","꾸준히 하고 있어요","I've been keeping it up.","[{""en"":""I've been exercising consistently lately!"",""ko"":""요즘 운동 꾸준히 하고 있어요!""},{""en"":""I've been studying Korean consistently every day."",""ko"":""매일 한국어 꾸준히 하고 있어요.""},{""en"":""I've been keeping it up — it's working well!"",""ko"":""꾸준히 하고 있어요, 효과가 좋아요!""}]"
114,"1341","eo-oda","29","-어 오다","have been ~ing (until now)","[{""en"":""I've been learning Korean for three years."",""ko"":""3년째 한국어를 배워 왔어요.""},{""en"":""I've kept at it steadily."",""ko"":""꾸준히 해 왔어요.""},{""en"":""It's the time we've walked together."",""ko"":""함께 걸어온 시간이에요.""}]"
115,"854","eodi-sarayo","30","~어디 살아요?","Where do you live?","[{""en"":""Where in Korea do you live?"",""ko"":""한국 어디 살아요?""},{""en"":""Where in Seoul do you live?"",""ko"":""서울 어디 살아요?""},{""en"":""Where are you living now?"",""ko"":""지금 어디 살아요?""}]"
116,"855","honja-sarayo","30","혼자 살아요?","Do you live alone?","[{""en"":""Do you live alone?"",""ko"":""혼자 살아요?""},{""en"":""Do you live alone? Are you renting on your own?"",""ko"":""혼자 살아요? 자취해요?""},{""en"":""Isn't it lonely living alone?"",""ko"":""혼자 살면 외롭지 않아요?""}]"
117,"856","geuncheoe-mwo-isseo","30","~근처에 뭐 있어?","What's near ~?","[{""en"":""What's near your place?"",""ko"":""집 근처에 뭐 있어?""},{""en"":""What's near the school?"",""ko"":""학교 근처에 뭐 있어요?""},{""en"":""Is there a café near here?"",""ko"":""여기 근처에 카페 있어요?""}]"
118,"857","gibuni-eottae","31","기분이 어때?","How are you feeling today?","[{""en"":""How are you feeling today?"",""ko"":""오늘 기분이 어때?""},{""en"":""How have you been feeling lately?"",""ko"":""요즘 기분이 어때?""},{""en"":""How are you feeling? Are you feeling much better?"",""ko"":""기분이 어때? 많이 나아졌어?""}]"
119,"858","raseo-haengbokae","31","~라서 행복해","Happy because of ~","[{""en"":""I'm happy because we're going on a trip!"",""ko"":""여행이라서 행복해!""},{""en"":""I'm happy because you're by my side."",""ko"":""네가 옆에 있어서 행복해.""},{""en"":""I'm happy because I'm in Korea!"",""ko"":""한국에 있어서 행복해!""}]"
120,"859","seolle","31","설레","I'm so excited!","[{""en"":""I'm excited because it's my first trip to Korea!"",""ko"":""첫 한국 여행이라서 설레!""},{""en"":""I'm excited because the concert is tomorrow!"",""ko"":""내일 콘서트라서 설레!""},{""en"":""I'm excited for some reason — I'm not sure why."",""ko"":""뭔가 설레, 이유는 모르겠어.""}]"
121,"1302","geodeun","31","-거든","because, you see","[{""en"":""I can't go today — I have plans."",""ko"":""오늘은 못 가요. 약속이 있거든요.""},{""en"":""He's famous. He's a singer, you see."",""ko"":""저 사람 유명해요. 가수거든요.""},{""en"":""I'll be a little late; I just left."",""ko"":""조금 늦을게요. 지금 출발했거든요.""}]"
122,"860","gwaenchanayo","32","괜찮아요?","Are you okay?","[{""en"":""Are you okay? Are you having a hard time?"",""ko"":""괜찮아요? 많이 힘들어요?""},{""en"":""Are you okay? You don't look well."",""ko"":""괜찮아요? 얼굴이 안 좋아 보여요.""},{""en"":""Are you hurting a lot? Are you okay?"",""ko"":""많이 아파요? 괜찮아요?""}]"
123,"861","yojeum-jom-himdeureoyo","32","요즘 좀 힘들어요","Things have been a bit hard lately.","[{""en"":""I've been struggling lately — studying is hard."",""ko"":""요즘 좀 힘들어요, 공부가 어려워요.""},{""en"":""I've been having a hard time lately — I'm very busy."",""ko"":""요즘 좀 힘들어요, 많이 바빠요.""},{""en"":""I've been struggling lately, but I'm okay!"",""ko"":""요즘 좀 힘들어요, 그래도 괜찮아요!""}]"
124,"862","eonjedeunji-yeollakaeyo","32","언제든지 연락해요","Contact me anytime.","[{""en"":""Stay in touch anytime!"",""ko"":""언제든지 연락해요!""},{""en"":""If you're struggling, contact me anytime."",""ko"":""힘들면 언제든지 연락해요.""},{""en"":""Contact me anytime — I'm always here!"",""ko"":""언제든지 연락해요, 항상 여기 있어요!""}]"
125,"1312","neurago","32","-느라고","because I was busy ~ing","[{""en"":""I couldn't call because I was working."",""ko"":""일하느라고 연락 못 했어요.""},{""en"":""I stayed up all night studying."",""ko"":""공부하느라고 밤을 새웠어요.""},{""en"":""I lost track of time watching a drama."",""ko"":""드라마 보느라고 시간 가는 줄 몰랐어요.""}]"
126,"863","kakaotok-haeyo","33","카카오톡 해요?","Do you use KakaoTalk?","[{""en"":""Do you use KakaoTalk? Tell me your ID!"",""ko"":""카카오톡 해요? 아이디 알려줘요!""},{""en"":""Do you use KakaoTalk? I'll add you as a friend!"",""ko"":""카카오톡 해요? 친구 추가할게요!""},{""en"":""Do you use KakaoTalk? Let's message there!"",""ko"":""카카오톡 해요? 거기서 연락해요!""}]"
127,"864","pallouhaedo-dwaeyo","33","팔로우해도 돼요?","May I follow you?","[{""en"":""Is it okay to follow you?"",""ko"":""팔로우해도 돼요?""},{""en"":""Is it okay to follow you on Instagram?"",""ko"":""인스타 팔로우해도 돼요?""},{""en"":""Is it okay to follow you? I'll follow you back!"",""ko"":""팔로우해도 돼요? 저도 팔로우할게요!""}]"
128,"1337","eo-duda","33","-어 두다","keep it done for later","[{""en"":""I saved the contact."",""ko"":""연락처를 저장해 뒀어요.""},{""en"":""I saved us a seat."",""ko"":""자리를 잡아 뒀어요.""},{""en"":""I took a photo to keep."",""ko"":""사진을 찍어 뒀어요.""}]"
129,"1361","eulge","33","-을게","I'll (promise to)","[{""en"":""I'll do it."",""ko"":""내가 할게.""},{""en"":""I'll call you later."",""ko"":""이따 연락할게.""},{""en"":""I'll head out first."",""ko"":""먼저 갈게.""}]"
130,"866","jega-salgeyo","34","제가 살게요","It's on me.","[{""en"":""Today's on me!"",""ko"":""오늘은 제가 살게요!""},{""en"":""This time it's on me!"",""ko"":""이번엔 제가 살게요!""},{""en"":""I'll get this one — you get the next one!"",""ko"":""제가 살게요, 다음엔 네가 사!""}]"
131,"867","deochipei-haeyo","34","더치페이 해요?","Shall we split the bill?","[{""en"":""Should we split the bill?"",""ko"":""더치페이 해요?""},{""en"":""Let's split the bill today!"",""ko"":""오늘 더치페이 해요!""},{""en"":""Should we split it? Or I can pay!"",""ko"":""더치페이 해요? 아니면 제가 낼게요!""}]"
132,"868","bap-hanbeon-meogeoyo","34","밥 한번 먹어요","Let's grab a meal sometime.","[{""en"":""Let's grab a meal sometime!"",""ko"":""밥 한번 먹어요!""},{""en"":""Let's grab a meal next time!"",""ko"":""다음에 밥 한번 먹어요!""},{""en"":""Let's grab a meal — it's on me!"",""ko"":""밥 한번 먹어요, 제가 살게요!""}]"
133,"870","ibeo-bwasseo","35","~입어 봤어?","Have you tried this on?","[{""en"":""Have you tried on a hanbok?"",""ko"":""한복 입어 봤어?""},{""en"":""Have you tried on this outfit?"",""ko"":""이 옷 입어 봤어?""},{""en"":""Have you tried it on? It suits you!"",""ko"":""입어 봤어? 잘 어울려!""}]"
134,"871","myeongjeore-mwo-hae","35","명절에 뭐 해?","What do you do on holidays?","[{""en"":""What do you do for Chuseok?"",""ko"":""추석에 명절에 뭐 해?""},{""en"":""What do you do for Seollal?"",""ko"":""설날 명절에 뭐 해?""},{""en"":""What do you do for holidays? Do you spend time with family?"",""ko"":""명절에 뭐 해? 가족이랑 시간 보내?""}]"
135,"872","ige-museun-tteusiya","35","이게 무슨 뜻이야?","What does this mean?","[{""en"":""What does this mean?"",""ko"":""이게 무슨 뜻이야?""},{""en"":""What does this word mean?"",""ko"":""이 단어 무슨 뜻이야?""},{""en"":""What does this mean? Teach me!"",""ko"":""이게 무슨 뜻이야? 가르쳐줘!""}]"
136,"1325","dasipi","35","-다시피","as you know; as you can see","[{""en"":""As you know, today is a day off."",""ko"":""아시다시피 오늘은 쉬는 날이에요.""},{""en"":""As you can see, it's crowded."",""ko"":""보시다시피 사람이 많아요.""},{""en"":""As I mentioned, there's no time."",""ko"":""말씀드렸다시피 시간이 없어요.""}]"
137,"873","sul-masyeoyo","36","술 마셔요?","Do you drink?","[{""en"":""Do you drink? Just a little for me!"",""ko"":""술 마셔요? 저는 조금만요!""},{""en"":""Do you drink? Let's have a drink together!"",""ko"":""술 마셔요? 같이 한잔 해요!""},{""en"":""Do you drink? I can't drink today."",""ko"":""술 마셔요? 오늘은 못 마셔요.""}]"
138,"874","geonbaehaeyo","36","건배해요","Cheers!","[{""en"":""Come on, let's toast!"",""ko"":""자, 건배해요!""},{""en"":""Let's toast! Let's do our best today!"",""ko"":""건배해요! 오늘도 화이팅!""},{""en"":""Let's toast — all together!"",""ko"":""건배해요, 다 같이!""}]"
139,"875","yeogikkajiman-haeyo","36","오늘은 여기까지만 해요","Let's stop here for today.","[{""en"":""Let's call it here for today!"",""ko"":""오늘은 여기까지만 해요!""},{""en"":""Let's stop here for today — let's continue tomorrow!"",""ko"":""오늘은 여기까지만 해요, 내일 또 해요!""},{""en"":""I'm tired, so let's call it here for today."",""ko"":""피곤하니까 오늘은 여기까지만 해요.""}]"
140,"1364","eupsida","36","-읍시다","let's (formal)","[{""en"":""Let's toast!"",""ko"":""건배합시다!""},{""en"":""Let's go together."",""ko"":""같이 갑시다.""},{""en"":""Let's begin now."",""ko"":""이제 시작합시다.""}]"
141,"876","i-norae-gachi-bulleoyo","37","이 노래 같이 불러요","Let's sing this song together!","[{""en"":""Let's sing this song together!"",""ko"":""이 노래 같이 불러요!""},{""en"":""Let's sing this song together — do you know the lyrics?"",""ko"":""이 노래 같이 불러요, 가사 알아요?""},{""en"":""Let's sing your favorite song together!"",""ko"":""좋아하는 노래 같이 불러요!""}]"
142,"877","sincheonggok-isseoyo","37","신청곡 있어요?","Any song requests?","[{""en"":""Do you have a song request?"",""ko"":""신청곡 있어요?""},{""en"":""Do you have a song request? I'll put it on!"",""ko"":""신청곡 있어요? 제가 틀어줄게요!""},{""en"":""Do you have a request? What do you want to hear?"",""ko"":""신청곡 있어요? 뭐 듣고 싶어요?""}]"
143,"878","han-gok-deo-haeyo","37","한 곡 더 해요","One more song.","[{""en"":""Let's do one more song!"",""ko"":""한 곡 더 해요!""},{""en"":""One more song — this time I'll sing!"",""ko"":""한 곡 더 해요, 이번엔 제가 불러요!""},{""en"":""It's so fun — let's do one more song!"",""ko"":""재미있으니까 한 곡 더 해요!""}]"
144,"1343","eo-juda","37","-어 주다","do (as a favor) for someone","[{""en"":""I'll take a photo for you."",""ko"":""사진 찍어 줄게요.""},{""en"":""Could you help me a bit?"",""ko"":""좀 도와줄래요?""},{""en"":""Please speak slowly."",""ko"":""천천히 말해 주세요.""}]"
145,"879","gachi-chwoyo","38","같이 춰요","Let's dance together.","[{""en"":""Let's dance together!"",""ko"":""같이 춰요!""},{""en"":""Let's dance together — to this song!"",""ko"":""같이 춰요, 이 노래에 맞춰서!""},{""en"":""Let's dance together — I'll teach you!"",""ko"":""같이 춰요, 제가 가르쳐줄게요!""}]"
146,"880","eoryeopjiman-jaemiisseoyo","38","어렵지만 재미있어요","It's hard but fun.","[{""en"":""It's hard but fun!"",""ko"":""어렵지만 재미있어요!""},{""en"":""It's hard at first, but it's fun."",""ko"":""처음엔 어렵지만 재미있어요.""},{""en"":""It's hard but fun — I'll keep going!"",""ko"":""어렵지만 재미있어요, 계속 할게요!""}]"
147,"881","hada-bomyeon-neureoyo","38","하다 보면 늘어요","You'll improve as you go.","[{""en"":""The more you do it, the better you get!"",""ko"":""하다 보면 늘어요!""},{""en"":""The more you practice, the better you get."",""ko"":""연습하다 보면 늘어요.""},{""en"":""If you do it every day, you'll improve!"",""ko"":""매일 하다 보면 늘어요!""}]"
148,"882","bunwigi-joayo","39","분위기 좋아요","The atmosphere is nice.","[{""en"":""This café has a great atmosphere!"",""ko"":""이 카페 분위기 좋아요!""},{""en"":""The weather is nice today and the atmosphere is great!"",""ko"":""오늘 날씨도 좋고 분위기 좋아요!""},{""en"":""It's quiet here and the atmosphere is nice."",""ko"":""여기 조용하고 분위기 좋아요.""}]"
149,"883","daldalhan-geo-isseoyo","39","달달한 거 있어요?","Do you have anything sweet?","[{""en"":""Do you have anything sweet?"",""ko"":""달달한 거 있어요?""},{""en"":""Do you have anything sweet? Is there caramel latte?"",""ko"":""달달한 거 있어요? 카라멜 라떼 있어요?""},{""en"":""Do you have anything sweet? I'm craving it today!"",""ko"":""달달한 거 있어요? 오늘 당기네요!""}]"
150,"884","orae-isseodo-dwaeyo","39","오래 있어도 돼요?","Is it okay to stay a long time?","[{""en"":""Is it okay to stay a long time?"",""ko"":""오래 있어도 돼요?""},{""en"":""I'm going to study — is it okay to stay long?"",""ko"":""공부하려고요, 오래 있어도 돼요?""},{""en"":""Can I use my laptop and stay a long time?"",""ko"":""노트북 써도 되고 오래 있어도 돼요?""}]"
151,"1342","eo-itda","39","-어 있다","be in the state of","[{""en"":""The flowers are in bloom."",""ko"":""꽃이 피어 있어요.""},{""en"":""The door is open."",""ko"":""문이 열려 있어요.""},{""en"":""I'm sitting in my seat."",""ko"":""자리에 앉아 있어요.""}]"
152,"885","naramada-dallayo","40","나라마다 달라요","It differs from country to country.","[{""en"":""Every country is different — that's what makes it fun!"",""ko"":""나라마다 달라요, 그게 재미있어요!""},{""en"":""Food is different in every country."",""ko"":""나라마다 음식이 달라요.""},{""en"":""Every country is different — that's why I love traveling!"",""ko"":""나라마다 달라요, 그래서 여행이 좋아요!""}]"
153,"886","ije-jeogeungi-dwaesseoyo","40","이제 적응이 됐어요","I've gotten used to it now.","[{""en"":""I've finally adapted to life in Korea!"",""ko"":""이제 한국 생활에 적응이 됐어요!""},{""en"":""I've even gotten used to the subway now."",""ko"":""지하철도 이제 적응이 됐어요.""},{""en"":""I've even gotten used to spicy food now!"",""ko"":""매운 음식도 이제 적응이 됐어요!""}]"
154,"887","cheoeumen-natseoreonneunde","40","처음엔 낯설었는데","It felt strange at first, but ~","[{""en"":""It was unfamiliar at first, but now it's fine."",""ko"":""처음엔 낯설었는데 이제 괜찮아요.""},{""en"":""It was unfamiliar at first, but now I love it!"",""ko"":""처음엔 낯설었는데 지금은 좋아요!""},{""en"":""It was unfamiliar at first, but I got used to it."",""ko"":""처음엔 낯설었는데 하다 보니 익숙해졌어요.""}]"
155,"1368","gwa-wa","40","~과/와","and; with","[{""en"":""I ate kimchi and rice."",""ko"":""김치와 밥을 먹었어요.""},{""en"":""I went with a friend."",""ko"":""친구와 같이 갔어요.""},{""en"":""Korea and France are different."",""ko"":""한국과 프랑스는 달라요.""}]"
156,"888","neunde","41","~는데","I'm hungry — what should we ~?","[{""en"":""I'm busy, but do you have a moment?"",""ko"":""바쁜데 잠깐 시간 있어요?""},{""en"":""I'm tired today, but shall we eat?"",""ko"":""오늘 피곤한데 밥 먹을까요?""},{""en"":""It's hard, but I'll try!"",""ko"":""어렵긴 한데 해볼게요!""}]"
157,"1344","eoseo","41","-어서","because; and then","[{""en"":""I ate because I was hungry."",""ko"":""배가 고파서 밥을 먹었어요.""},{""en"":""Sorry I'm late."",""ko"":""늦어서 죄송해요.""},{""en"":""I went to a cafe and studied."",""ko"":""카페에 가서 공부했어요.""}]"
158,"1347","eunikka","41","-으니까","since; because","[{""en"":""Take an umbrella since it's raining."",""ko"":""비가 오니까 우산 가져가세요.""},{""en"":""Let's hurry since there's no time."",""ko"":""시간이 없으니까 서두르자.""},{""en"":""It's good, so give it a try."",""ko"":""맛있으니까 한번 드셔 보세요.""}]"
159,"1367","jiman","41","-지만","but; although","[{""en"":""It's hard but fun."",""ko"":""어렵지만 재미있어요.""},{""en"":""It was spicy but delicious."",""ko"":""매웠지만 맛있었어요.""},{""en"":""I don't have time, but I want to go."",""ko"":""시간은 없지만 가고 싶어요.""}]"
160,"891","myeon-eottaeyo","42","~면 어때요?","How about meeting ~?","[{""en"":""What if we go to a café together?"",""ko"":""같이 카페 가면 어때요?""},{""en"":""What if we meet tomorrow?"",""ko"":""내일 만나면 어때요?""},{""en"":""What if we do it this way?"",""ko"":""이렇게 하면 어때요?""}]"
161,"892","myeon-jokesseoyo","42","~면 좋겠어요","I hope the weather is nice ~","[{""en"":""I wish it would rain."",""ko"":""비가 오면 좋겠어요.""},{""en"":""I hope we can go together!"",""ko"":""같이 가면 좋겠어요!""},{""en"":""I wish I had time."",""ko"":""시간이 있으면 좋겠어요.""}]"
162,"893","myeon-dwaeyo","42","~면 돼요","You can ~","[{""en"":""You can do it this way."",""ko"":""이렇게 하면 돼요.""},{""en"":""You just need to come here!"",""ko"":""여기 오면 돼요!""},{""en"":""You can just say it."",""ko"":""그냥 말하면 돼요.""}]"
163,"1328","deorado","42","-더라도","even if","[{""en"":""Even if it's hard, don't give up."",""ko"":""힘들더라도 포기하지 마세요.""},{""en"":""I'll go even if it rains."",""ko"":""비가 오더라도 갈게요.""},{""en"":""Come even if you're late."",""ko"":""늦더라도 꼭 오세요.""}]"
164,"894","ttaemune","43","~때문에","I couldn't go out because of the ~","[{""en"":""I couldn't come because of the rain."",""ko"":""비 때문에 못 왔어요.""},{""en"":""I couldn't go because I was busy."",""ko"":""바쁘기 때문에 못 갔어요.""},{""en"":""I study every day because I love it."",""ko"":""좋아하기 때문에 매일 공부해요.""}]"
165,"895","deokbune","43","~덕분에","Thanks to my teacher, my Korean has ~","[{""en"":""My Korean improved thanks to Jisu!"",""ko"":""지수 덕분에 한국어가 늘었어요!""},{""en"":""I'm happy thanks to all of you!"",""ko"":""여러분 덕분에 행복해요!""},{""en"":""It worked out well thanks to you."",""ko"":""덕분에 잘 해결됐어요.""}]"
166,"1318","neun-barame","43","-는 바람에","because of (something unexpected)","[{""en"":""I was late because I overslept."",""ko"":""늦잠을 자는 바람에 지각했어요.""},{""en"":""I couldn't go because it rained."",""ko"":""비가 오는 바람에 못 갔어요.""},{""en"":""Things blew up because I posted that photo."",""ko"":""사진을 올리는 바람에 난리 났어요.""}]"
167,"897","neun-dongan","44","~는 동안","Shall we have coffee while we ~?","[{""en"":""I study while listening to music."",""ko"":""음악을 듣는 동안 공부해요.""},{""en"":""I read a book while waiting."",""ko"":""기다리는 동안 책 읽어요.""},{""en"":""I study Korean while watching dramas!"",""ko"":""드라마 보는 동안 한국어 공부해요!""}]"
168,"898","go-naseo","44","~고 나서","Shall we take a walk after ~?","[{""en"":""I go for a walk after eating."",""ko"":""밥 먹고 나서 산책해요.""},{""en"":""I rest after studying."",""ko"":""공부하고 나서 쉬어요.""},{""en"":""I drink coffee after waking up."",""ko"":""일어나고 나서 커피 마셔요.""}]"
169,"899","gi-jeone","44","~기 전에","Don't look at your phone before ~","[{""en"":""I write in my diary before going to sleep."",""ko"":""자기 전에 일기 써요.""},{""en"":""I take a photo before eating!"",""ko"":""먹기 전에 사진 찍어요!""},{""en"":""I grab my phone before going out."",""ko"":""나가기 전에 핸드폰 챙겨요.""}]"
170,"901","hae-deurilkkayo","45","해 드릴까요?","Shall I do it for you?","[{""en"":""Can I help you?"",""ko"":""도와 드릴까요?""},{""en"":""Shall I do it for you?"",""ko"":""제가 해 드릴까요?""},{""en"":""Shall I do it together with you?"",""ko"":""같이 해 드릴까요?""}]"
171,"902","joesonghandeyo-hoksi","45","죄송한데요 혹시 ~","Excuse me, could you ~?","[{""en"":""Excuse me, do you happen to know the way?"",""ko"":""죄송한데요, 혹시 길 알아요?""},{""en"":""Excuse me, do you happen to have a moment?"",""ko"":""죄송한데요, 혹시 시간 있어요?""},{""en"":""Excuse me, could you possibly take a photo for me?"",""ko"":""죄송한데요, 혹시 사진 찍어줄 수 있어요?""}]"
172,"1338","eo-deurida","45","-어 드리다","do for someone (humble)","[{""en"":""Let me help you."",""ko"":""제가 도와드릴게요.""},{""en"":""Shall I take a photo for you?"",""ko"":""사진 찍어 드릴까요?""},{""en"":""I'll show you to your seat."",""ko"":""자리를 안내해 드리겠습니다.""}]"
173,"1362","eulkkayo","45","-을까요?","shall I/we?","[{""en"":""Shall we go together?"",""ko"":""같이 갈까요?""},{""en"":""Shall I help you?"",""ko"":""제가 도와드릴까요?""},{""en"":""What shall we eat?"",""ko"":""뭐 먹을까요?""}]"
174,"903","ji-eolmana-dwaesseoyo","46","~지 얼마나 됐어요?","How long has it been since you came to ~?","[{""en"":""How long has it been since you came to Korea?"",""ko"":""한국에 온 지 얼마나 됐어요?""},{""en"":""How long have you been studying?"",""ko"":""공부한 지 얼마나 됐어요?""},{""en"":""How long has it been since we met?"",""ko"":""만난 지 얼마나 됐어요?""}]"
175,"904","ajik-neun-jungieyo","46","아직 ~는 중이에요","아직 ~","[{""en"":""I'm still in the middle of studying."",""ko"":""아직 공부하는 중이에요.""},{""en"":""I'm still waiting."",""ko"":""아직 기다리는 중이에요.""},{""en"":""I'm still getting ready!"",""ko"":""아직 준비하는 중이에요!""}]"
176,"905","geoui-da-dwaesseoyo","46","거의 다 됐어요","It's almost done.","[{""en"":""I'm almost done — just wait a little!"",""ko"":""거의 다 됐어요, 조금만 기다려요!""},{""en"":""I'm almost done — just 5 more minutes!"",""ko"":""거의 다 됐어요, 5분만요!""},{""en"":""Is it done? Almost!"",""ko"":""다 됐어요? 거의 다 됐어요!""}]"
